課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,BOOST教案
1,BOOST 六 12:30-14:00,DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年9月13日 10:30 (GMT+8) → 12:00,滑板車 (https://www.notion.so/2680a4c0ed84805ca57fe6346ff912ea?pvs=21)
2,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年9月20日 10:30 (GMT+8) → 12:00,機械手臂 (https://www.notion.so/2680a4c0ed8480a4a6b2ccca4ed77ea6?pvs=21)
3,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年9月27日 10:30 (GMT+8) → 12:00,六腳獸 (https://www.notion.so/2680a4c0ed84808fb0cde4e381787143?pvs=21)
4,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年10月18日 10:30 (GMT+8) → 12:00,爆能槍 (https://www.notion.so/2680a4c0ed84802b8efbe6410b5edc8b?pvs=21)
5,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年11月1日 10:30 (GMT+8) → 12:00,影藏機 (https://www.notion.so/2680a4c0ed848074a1fec8a48195f243?pvs=21)
6,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年11月8日 10:30 (GMT+8) → 12:00,轉向遙控賽車 (https://www.notion.so/1a70a4c0ed8480c2992fd2ece9715ddf?pvs=21)
7,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年11月15日 10:30 (GMT+8) → 12:00,旋轉音樂盒 (https://www.notion.so/2680a4c0ed848035af5cdd1869be7450?pvs=21)
8,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年11月22日 10:30 (GMT+8) → 12:00,雪橇車 (https://www.notion.so/2680a4c0ed8480cc8735c74377fdc8e1?pvs=21)
9,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年11月29日 10:30 (GMT+8) → 12:00,升降堆高機 (https://www.notion.so/1a70a4c0ed8480e2b4f0d79a917bbac0?pvs=21)
10,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年12月6日 10:30 (GMT+8) → 12:00,運送車 (https://www.notion.so/2680a4c0ed84802b997ed392d1f6f8a2?pvs=21)
11,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年12月13日 10:30 (GMT+8) → 12:00,小恐龍 (https://www.notion.so/2680a4c0ed848068a404d5cf8fe5d82d?pvs=21)
12,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年12月20日 10:30 (GMT+8) → 12:00,弓箭車 (https://www.notion.so/2680a4c0ed848078b4f1c78bf0bc3c55?pvs=21)
13,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2025年12月27日 10:30 (GMT+8) → 12:00,搖屁股機器人 (https://www.notion.so/2680a4c0ed84806bbcadeb354b47d0e1?pvs=21)
14,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2026年1月3日 10:30 (GMT+8) → 12:00,販賣機 (https://www.notion.so/2680a4c0ed84809fb261f5e05fd9c13e?pvs=21)
15,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2026年1月10日 10:30 (GMT+8) → 12:00,收營機 (https://www.notion.so/2680a4c0ed8480a78e88fea94e1f434a?pvs=21)
16,"BOOST 六 12:30-14:00 ",DANIEL (https://www.notion.so/DANIEL-20d0a4c0ed8480aab20dd501c2ed5c39?pvs=21),,,FLB教室,2026年1月17日 10:30 (GMT+8) → 12:00,鋼琴 (https://www.notion.so/2680a4c0ed8480ab9563cbb658694a5a?pvs=21)
