課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,BOOST教案
1,BOOST 六 12:30-14:00,HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年9月13日 12:30 (GMT+8) → 14:00,顏色音樂盒 (https://www.notion.so/19f0a4c0ed84804fa2f8e1eb7ba318eb?pvs=21)
2,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年9月20日 12:30 (GMT+8) → 14:00,高爾夫球機 (https://www.notion.so/19f0a4c0ed84803dbf03c5a92ca80297?pvs=21)
3,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年9月27日 12:30 (GMT+8) → 14:00,毛毛蟲 (https://www.notion.so/19f0a4c0ed848092abe5cee222624c1e?pvs=21)
4,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年10月18日 12:30 (GMT+8) → 14:00,移動籃框 (https://www.notion.so/1a00a4c0ed8480fc9223c3e71535d19f?pvs=21)
5,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年11月1日 12:30 (GMT+8) → 14:00,"倒水機  (https://www.notion.so/1a00a4c0ed84803591b6ed4175024624?pvs=21), 加農砲 (https://www.notion.so/26c0a4c0ed8480e98e1be0270ea849b7?pvs=21)"
6,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年11月8日 12:30 (GMT+8) → 14:00,顏色分類機 (https://www.notion.so/1ad0a4c0ed8480ca8523d6aed60ce35b?pvs=21)
7,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年11月15日 12:30 (GMT+8) → 14:00,拉霸機 (https://www.notion.so/1a00a4c0ed8480fcb66dc15dc7ee1dd9?pvs=21)
8,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年11月22日 12:30 (GMT+8) → 14:00,射擊車 (https://www.notion.so/1a00a4c0ed8480d6bd87cc324a4dac96?pvs=21)
9,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年11月29日 12:30 (GMT+8) → 14:00,偷襲大砲 (https://www.notion.so/1a00a4c0ed848030ae21ecd01ee978d8?pvs=21)
10,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年12月6日 12:30 (GMT+8) → 14:00,旋轉木馬 (https://www.notion.so/1a00a4c0ed8480e091cdcb3284540357?pvs=21)
11,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年12月13日 12:30 (GMT+8) → 14:00,棒球打擊機  (https://www.notion.so/1a40a4c0ed8480f082e5eaee72c4f1a5?pvs=21)
12,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年12月20日 12:30 (GMT+8) → 14:00,投石器 (https://www.notion.so/1a50a4c0ed8480e5bb2cfa9bca38443f?pvs=21)
13,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2025年12月27日 12:30 (GMT+8) → 14:00,寶藏盒 (https://www.notion.so/1a50a4c0ed8480329189ec6d34251963?pvs=21)
14,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2026年1月3日 12:30 (GMT+8) → 14:00,小兔子 (https://www.notion.so/1a50a4c0ed84806294c2c41bd7c9e9ff?pvs=21)
15,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2026年1月10日 12:30 (GMT+8) → 14:00,電梯 (https://www.notion.so/1a60a4c0ed8480d59d80f8d7facab644?pvs=21)
16,"BOOST 六 12:30-14:00 ",HANSEN (https://www.notion.so/HANSEN-20d0a4c0ed84809d9549ca1233a1d51a?pvs=21),,,FLB教室,2026年1月17日 12:30 (GMT+8) → 14:00,畫圖機 (https://www.notion.so/1a70a4c0ed8480f897adc09a46b0bb2f?pvs=21)
