課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,spike教案
1,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年9月17日 19:00 (GMT+8) → 20:30,旋轉摩托車 (https://www.notion.so/19f0a4c0ed8480679186c84d7f2d1ed4?pvs=21)
2,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年9月24日 19:00 (GMT+8) → 20:30,旋轉木馬 (https://www.notion.so/19f0a4c0ed8480469fbcc254488bd9b9?pvs=21)
3,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年10月1日 19:00 (GMT+8) → 20:30,搖擺企鵝 (https://www.notion.so/1a50a4c0ed848056ad9eebad2353da82?pvs=21)
4,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年10月8日 19:00 (GMT+8) → 20:30,海龜先生 (https://www.notion.so/1a50a4c0ed8480759850f03e98b81270?pvs=21)
5,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年10月15日 19:00 (GMT+8) → 20:30,記憶遊戲 (https://www.notion.so/1a50a4c0ed848045a61bd1ce3fb039e1?pvs=21)
6,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年10月22日 19:00 (GMT+8) → 20:30,骨牌車 (https://www.notion.so/1a70a4c0ed8480a8a453f97f29e8049c?pvs=21)
7,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年10月29日 19:00 (GMT+8) → 20:30,簡單畫圖機 (https://www.notion.so/1a70a4c0ed8480ffbf8cdd1700473ef7?pvs=21)
8,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年11月5日 19:00 (GMT+8) → 20:30,四足獸 (https://www.notion.so/2680a4c0ed84802690c2daa61914d002?pvs=21)
9,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年11月12日 19:00 (GMT+8) → 20:30,輪椅人 (https://www.notion.so/1ae0a4c0ed8480ec8f45f938d8327a48?pvs=21)
10,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年11月19日 19:00 (GMT+8) → 20:30,時鐘 (https://www.notion.so/1ae0a4c0ed8480579dcdd81f250d681d?pvs=21)
11,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年11月26日 19:00 (GMT+8) → 20:30,翹翹板 (https://www.notion.so/1ae0a4c0ed84805ead52ec95c800a66d?pvs=21)
12,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年12月3日 19:00 (GMT+8) → 20:30,海盜船 (https://www.notion.so/1ae0a4c0ed8480b0940fc7ddc36dab8f?pvs=21)
13,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年12月10日 19:00 (GMT+8) → 20:30,顏色分類車 (https://www.notion.so/1b20a4c0ed84800fb800e854cdf75345?pvs=21)
14,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年12月17日 19:00 (GMT+8) → 20:30,日本武士 (https://www.notion.so/2680a4c0ed848066bd64d23b163fd8ba?pvs=21)
15,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年12月24日 19:00 (GMT+8) → 20:30,高爾夫球機器人 (https://www.notion.so/2680a4c0ed8480dc8b61cda0616df578?pvs=21)
16,SPIKE 三 18:30-20:30,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,FLB教室,2025年12月31日 19:00 (GMT+8) → 20:30,舉重機器人 (https://www.notion.so/2680a4c0ed8480129a69ca8239612414?pvs=21)
