課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,"spike教案 "
1,SPIKE 六 16:00-18:00,EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年9月13日 16:00 (GMT+8) → 18:00,彩色流浪車 (https://www.notion.so/19f0a4c0ed848087985eed671c14034e?pvs=21)
2,SPIKE 六 16:00-18:00,EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年9月20日 16:00 (GMT+8) → 18:00,剪刀石頭布 (https://www.notion.so/19f0a4c0ed848013824ff6d04531f8a2?pvs=21)
3,SPIKE 六 16:00-18:00,EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年9月27日 16:00 (GMT+8) → 18:00,十字弩 (https://www.notion.so/19f0a4c0ed8480638398ea0a29584f95?pvs=21)
4,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年10月18日 16:00 (GMT+8) → 18:00,簡單畫圖機 (https://www.notion.so/1a70a4c0ed8480ffbf8cdd1700473ef7?pvs=21)
5,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年11月1日 16:00 (GMT+8) → 18:00,循線倉鼠 (https://www.notion.so/26a0a4c0ed848027985fd510585c62fb?pvs=21)
6,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年11月8日 16:00 (GMT+8) → 18:00,模擬飛行 (https://www.notion.so/26a0a4c0ed8480c1b97bc4e914d3cb5f?pvs=21)
7,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年11月15日 16:00 (GMT+8) → 18:00,直升機 (https://www.notion.so/26a0a4c0ed848048beb4fe4ae347efc9?pvs=21)
8,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年11月22日 16:00 (GMT+8) → 18:00,划龍舟 (https://www.notion.so/26a0a4c0ed8480fc93a5dddcb3cee159?pvs=21)
9,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年11月29日 16:00 (GMT+8) → 18:00,歪歪走路人 (https://www.notion.so/26a0a4c0ed8480618d12fbd4deae7f0c?pvs=21)
10,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年12月6日 16:00 (GMT+8) → 18:00,電動滑板車 (https://www.notion.so/26a0a4c0ed848092b77ed18a9dab705c?pvs=21)
11,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年12月13日 16:00 (GMT+8) → 18:00,拔河車 (https://www.notion.so/26a0a4c0ed8480d6b8ddfa8f34cb0754?pvs=21)
12,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年12月20日 16:00 (GMT+8) → 18:00,諸葛連努 (https://www.notion.so/26a0a4c0ed84803991e9d93238502764?pvs=21)
13,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2025年12月27日 16:00 (GMT+8) → 18:00,模仿遊戲 (https://www.notion.so/26a0a4c0ed8480f68584c5acaf74ae51?pvs=21)
14,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2026年1月3日 16:00 (GMT+8) → 18:00,顏色分類儀 (https://www.notion.so/26a0a4c0ed848033b7b6f7aaf0ec3a75?pvs=21)
15,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2026年1月10日 16:00 (GMT+8) → 18:00,兔子 (https://www.notion.so/2680a4c0ed8480ad9a09c396fb257390?pvs=21)
16,"SPIKE 六 16:00-18:00 ",EASON (https://www.notion.so/EASON-20d0a4c0ed848098b811d04fa9901f7c?pvs=21),,站前教室,FLB教室,2026年1月17日 16:00 (GMT+8) → 18:00,F1賽車 (https://www.notion.so/F1-26a0a4c0ed84809884b0cdeed3acc40b?pvs=21)
