課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,"spike教案 "
1,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年9月14日 15:15 (GMT+8) → 17:15,顏色分類車 (https://www.notion.so/1b20a4c0ed84800fb800e854cdf75345?pvs=21)
2,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年9月21日 15:15 (GMT+8) → 17:15,日本武士 (https://www.notion.so/2680a4c0ed848066bd64d23b163fd8ba?pvs=21)
3,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年9月28日 15:15 (GMT+8) → 17:15,彩色流浪車 (https://www.notion.so/19f0a4c0ed848087985eed671c14034e?pvs=21)
4,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年10月19日 15:15 (GMT+8) → 17:15,剪刀石頭布 (https://www.notion.so/19f0a4c0ed848013824ff6d04531f8a2?pvs=21)
5,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年11月2日 15:15 (GMT+8) → 17:15,十字弩 (https://www.notion.so/19f0a4c0ed8480638398ea0a29584f95?pvs=21)
6,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年11月9日 15:15 (GMT+8) → 17:15,簡單畫圖機 (https://www.notion.so/1a70a4c0ed8480ffbf8cdd1700473ef7?pvs=21)
7,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年11月16日 15:15 (GMT+8) → 17:15,循線倉鼠 (https://www.notion.so/26a0a4c0ed848027985fd510585c62fb?pvs=21)
8,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年11月23日 15:15 (GMT+8) → 17:15,模擬飛行 (https://www.notion.so/26a0a4c0ed8480c1b97bc4e914d3cb5f?pvs=21)
9,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年11月30日 15:15 (GMT+8) → 17:15,直升機 (https://www.notion.so/26a0a4c0ed848048beb4fe4ae347efc9?pvs=21)
10,SPIKE 日 15:15-17:15,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年12月7日 15:15 (GMT+8) → 17:15,划龍舟 (https://www.notion.so/26a0a4c0ed8480fc93a5dddcb3cee159?pvs=21)
11,"SPIKE 六 16:00-18:00 ",TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年12月14日 15:15 (GMT+8) → 17:15,歪歪走路人 (https://www.notion.so/26a0a4c0ed8480618d12fbd4deae7f0c?pvs=21)
12,"SPIKE 六 16:00-18:00 ",TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年12月21日 15:15 (GMT+8) → 17:15,電動滑板車 (https://www.notion.so/26a0a4c0ed848092b77ed18a9dab705c?pvs=21)
13,"SPIKE 六 16:00-18:00 ",TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2025年12月28日 15:15 (GMT+8) → 17:15,拔河車 (https://www.notion.so/26a0a4c0ed8480d6b8ddfa8f34cb0754?pvs=21)
14,"SPIKE 六 16:00-18:00 ",TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2026年1月4日 15:15 (GMT+8) → 17:15,諸葛連努 (https://www.notion.so/26a0a4c0ed84803991e9d93238502764?pvs=21)
15,"SPIKE 六 16:00-18:00 ",TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2026年1月11日 15:15 (GMT+8) → 17:15,模仿遊戲 (https://www.notion.so/26a0a4c0ed8480f68584c5acaf74ae51?pvs=21)
16,"SPIKE 六 16:00-18:00 ",TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),站前教室,FLB教室,2026年1月18日 15:15 (GMT+8) → 17:15,海盜船 (https://www.notion.so/1ae0a4c0ed8480b0940fc7ddc36dab8f?pvs=21)
