課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,ESM 第一期,"ESM 第二期 "
1,ESM 日 9:30-10:30,,,,FLB教室,2025年9月14日 9:30 (GMT+8) → 10:30," 碾碎機器人 (https://www.notion.so/20c0a4c0ed848081aba3f55be3f30113?pvs=21)",
2,ESM 日 9:30-10:30,,,,FLB教室,2025年9月21日 9:30 (GMT+8) → 10:30,旋轉木馬 (https://www.notion.so/20c0a4c0ed848079912beeecaf100816?pvs=21),
3,ESM 日 9:30-10:30,,,,FLB教室,2025年9月28日 9:30 (GMT+8) → 10:30,搖搖馬 (https://www.notion.so/1c00a4c0ed8480fbbcfcf483d419f787?pvs=21),
4,ESM 日 9:30-10:30,,,,FLB教室,2025年10月19日 9:30 (GMT+8) → 10:30,戰鬥直升機（簡易版） (https://www.notion.so/20c0a4c0ed8480e7bc8fd0ee93d210c6?pvs=21),
5,ESM 日 9:30-10:30,,,,FLB教室,2025年11月2日 9:30 (GMT+8) → 10:30,掃地車 (https://www.notion.so/1ce0a4c0ed8480ecac13cc70591203df?pvs=21),
6,ESM 日 9:30-10:30,,,,FLB教室,2025年11月9日 9:30 (GMT+8) → 10:30,會跳舞的花 (https://www.notion.so/1a10a4c0ed8481b49509c7398290e643?pvs=21),
7,ESM 日 9:30-10:30,,,,FLB教室,2025年11月16日 9:30 (GMT+8) → 10:30,自動畫圖機 (https://www.notion.so/20c0a4c0ed848050a254f44c3fe4b8e5?pvs=21),
8,ESM 日 9:30-10:30,,,,FLB教室,2025年11月23日 9:30 (GMT+8) → 10:30,雷達車 (https://www.notion.so/21c0a4c0ed84804f97b7e6ab1911baf0?pvs=21),
9,ESM 日 9:30-10:30,,,,FLB教室,2025年11月30日 9:30 (GMT+8) → 10:30,超給力的攪拌機 (https://www.notion.so/20c0a4c0ed84809db422e754fa37acb5?pvs=21),
10,ESM 日 9:30-10:30,,,,FLB教室,2025年12月7日 9:30 (GMT+8) → 10:30,,風車 (https://www.notion.so/1a10a4c0ed8481778b38d2c3b70cd58e?pvs=21)
11,ESM 日 9:30-10:30,,,,FLB教室,2025年12月14日 9:30 (GMT+8) → 10:30,,倒沙車 (https://www.notion.so/21d0a4c0ed8480798620fb4217d9afea?pvs=21)
12,ESM 日 9:30-10:30,,,,FLB教室,2025年12月21日 9:30 (GMT+8) → 10:30,,海盜船 (https://www.notion.so/21d0a4c0ed848027a7d4df5e847957be?pvs=21)
13,ESM 日 9:30-10:30,,,,FLB教室,2025年12月28日 9:30 (GMT+8) → 10:30,,足球游戲 (https://www.notion.so/21d0a4c0ed8480498cc4ce4fbbe478ae?pvs=21)
14,ESM 日 9:30-10:30,,,,FLB教室,2026年1月4日 9:30 (GMT+8) → 10:30,,旋轉餐廳 (https://www.notion.so/21d0a4c0ed8480f887bef0e4a86cbf94?pvs=21)
15,ESM 日 9:30-10:30,,,,FLB教室,2026年1月11日 9:30 (GMT+8) → 10:30,自動螺旋漿車 (https://www.notion.so/21c0a4c0ed8480b4a64dd2788e47ca22?pvs=21),
16,ESM 日 9:30-10:30,,,,FLB教室,2026年1月18日 9:30 (GMT+8) → 10:30,馬戲團雜耍 (https://www.notion.so/20c0a4c0ed84800cb5e4f8c872b21462?pvs=21),
